City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Yangambi,CD,2020-09-29 22:56:38,0.81,24.43,68.95,99,100,0.51
70,Vestmanna,FO,2020-09-29 22:56:14,62.16,-7.17,50.0,93,39,19.46
71,Victoria,HK,2020-09-29 22:50:04,22.29,114.16,81.0,89,20,10.58
72,Kruisfontein,ZA,2020-09-29 22:54:15,-34.0,24.73,46.99,89,0,5.12
73,Dikson,RU,2020-09-29 22:53:19,73.51,80.55,35.55,81,100,14.61
74,Tirumullaivasal,IN,2020-09-29 23:01:08,11.23,79.83,76.41,90,100,4.7
75,Tiksi,RU,2020-09-29 22:53:07,71.69,128.87,33.96,96,100,11.39
76,Maldonado,UY,2020-09-29 23:01:08,-34.67,-54.92,64.4,55,0,10.29
77,Mao,ES,2020-09-29 23:01:08,39.89,4.27,64.4,77,0,3.36
78,Trois-Rivieres,CA,2020-09-29 22:56:47,46.35,-72.55,59.0,100,90,9.17
79,Port Alfred,ZA,2020-09-29 22:53:09,-33.59,26.89,56.64,70,64,5.21
80,Havoysund,NO,2020-09-29 23:01:08,71.0,24.66,46.4,87,20,8.05
81,Hermanus,ZA,2020-09-29 22:53:08,-34.42,19.23,50.0,89,7,6.29
82,Vaini,TO,2020-09-29 22:52:56,-21.2,-175.2,78.8,88,75,8.05
83,Jamame,SO,2020-09-29 23:01:09,0.07,42.75,75.33,83,32,8.57
84,Huarmey,PE,2020-09-29 22:55:04,-10.07,-78.15,63.95,79,42,8.3
85,Bredasdorp,ZA,2020-09-29 22:53:03,-34.53,20.04,50.0,81,1,2.24
86,Vostok,RU,2020-09-29 22:55:22,46.49,135.88,45.73,89,0,0.72
87,Beringovskiy,RU,2020-09-29 22:56:47,63.05,179.32,43.93,65,34,0.69
88,Abu Samrah,SY,2020-09-29 23:01:09,35.3,37.18,72.84,51,21,8.39
89,Atuona,PF,2020-09-29 22:53:01,-9.8,-139.03,78.58,71,13,17.0
90,Torbay,CA,2020-09-29 23:00:33,47.67,-52.73,66.2,93,90,20.8
91,Maxixe,MZ,2020-09-29 23:01:10,-23.86,35.35,73.27,85,71,3.15
92,Vardo,NO,2020-09-29 22:53:44,70.37,31.11,50.0,87,40,4.7
93,Jamestown,US,2020-09-29 22:52:55,42.1,-79.24,57.99,76,90,5.82
94,Mugur-Aksy,RU,2020-09-29 23:01:10,50.35,90.5,26.8,88,52,2.8
95,Rio Gallegos,AR,2020-09-29 22:51:28,-51.62,-69.22,37.4,55,40,27.51
96,Souillac,MU,2020-09-29 22:53:39,-20.52,57.52,71.6,88,40,11.41
97,Bogotol,RU,2020-09-29 23:01:11,56.21,89.53,26.78,98,10,3.78
98,Upernavik,GL,2020-09-29 22:53:06,72.79,-56.15,23.4,87,59,6.6
