City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Nhulunbuy,AU,-12.23,136.77,86.0,58,75,16.11,broken clouds
83,East London,ZA,-33.02,27.91,50.0,81,5,6.93,clear sky
84,Husavik,IS,66.04,-17.34,35.6,93,90,3.36,heavy intensity rain
85,Makakilo City,US,21.35,-158.09,84.2,65,1,8.05,clear sky
86,Columbus,US,39.96,-83.0,54.0,81,75,8.05,broken clouds
87,Letterkenny,IE,54.95,-7.73,54.48,93,100,8.3,light rain
88,Talaya,RU,61.38,152.75,40.87,75,100,3.36,overcast clouds
89,Salihli,TR,38.48,28.15,64.0,64,0,5.99,clear sky
90,Khatanga,RU,71.97,102.5,30.29,98,100,18.72,overcast clouds
91,Berlevag,NO,70.86,29.09,50.2,82,56,7.05,broken clouds
92,Santa Cruz,BO,-17.8,-63.17,73.4,78,0,12.75,clear sky
93,West Freehold,US,40.24,-74.3,71.6,95,90,16.11,light rain
94,Jamestown,US,42.1,-79.24,53.01,87,90,6.93,moderate rain
95,Cabo San Lucas,MX,22.89,-109.91,86.0,55,5,4.7,clear sky
96,Kassala,SD,15.45,36.4,79.9,73,94,12.15,overcast clouds
97,Vostok,RU,46.49,135.88,52.88,58,38,4.79,scattered clouds
98,Praia Da Vitoria,PT,38.73,-27.07,66.2,72,75,9.62,broken clouds
99,Pokaran,IN,26.92,71.92,89.56,38,0,8.95,clear sky
100,Isangel,VU,-19.55,169.27,77.0,78,75,17.22,broken clouds
101,Codrington,AU,-38.27,141.97,59.49,77,100,16.89,overcast clouds
102,Necochea,AR,-38.55,-58.74,55.0,82,0,11.61,clear sky
103,Kahului,US,20.89,-156.47,84.2,66,1,12.75,clear sky
104,College,US,64.86,-147.8,53.6,61,40,6.93,scattered clouds
105,Rikitea,PF,-23.12,-134.97,70.05,78,76,23.35,broken clouds
106,Bluff,NZ,-46.6,168.33,50.09,77,89,17.47,overcast clouds
107,Milkovo,RU,54.72,158.62,50.94,76,82,1.07,broken clouds
108,Touros,BR,-5.2,-35.46,71.6,94,75,3.36,broken clouds
109,Bathsheba,BB,13.22,-59.52,80.6,88,40,18.34,shower rain
110,Zhigansk,RU,66.77,123.37,34.16,85,99,14.07,overcast clouds
111,Lompoc,US,34.64,-120.46,57.2,93,90,3.36,overcast clouds
112,Nebaj,GT,15.41,-91.15,48.0,100,100,2.68,moderate rain
113,Acarau,BR,-2.89,-40.12,79.02,78,27,19.1,scattered clouds
114,Mahebourg,MU,-20.41,57.7,71.6,83,75,11.41,broken clouds
115,Ostrovnoy,RU,68.05,39.51,45.55,81,1,15.59,clear sky
116,Vaitape,PF,-16.52,-151.75,79.23,77,12,22.68,few clouds
117,Victoria,HK,22.29,114.16,87.01,77,39,1.01,scattered clouds
118,Malartic,CA,48.13,-78.13,53.01,86,100,8.99,overcast clouds
119,Leczna,PL,51.3,22.88,53.6,100,90,9.17,light rain
120,Carnarvon,AU,-24.87,113.63,77.0,50,0,11.41,clear sky
121,Sokolo,ML,14.73,-6.12,86.9,37,60,4.09,broken clouds
122,Mount Isa,AU,-20.73,139.5,95.0,21,40,8.05,scattered clouds
123,Tomatlan,MX,19.93,-105.25,77.14,90,88,2.35,overcast clouds
124,Escuintla,GT,14.3,-90.78,64.4,93,75,6.93,broken clouds
125,Poum,NC,-20.23,164.02,71.15,69,47,15.55,scattered clouds
126,Deputatskiy,RU,69.3,139.9,35.83,72,73,21.25,broken clouds
127,Bredasdorp,ZA,-34.53,20.04,41.0,93,30,3.36,scattered clouds
128,Porto Nacional,BR,-10.71,-48.42,80.6,61,12,3.36,few clouds
129,Oistins,BB,13.07,-59.53,80.6,88,40,18.34,shower rain
130,Torbay,CA,47.67,-52.73,64.4,100,75,12.75,broken clouds
131,Nikolskoye,RU,59.7,30.79,51.01,93,40,4.47,scattered clouds
132,Belaya Gora,RU,68.53,146.42,48.81,68,97,9.71,overcast clouds
133,Tiksi,RU,71.69,128.87,33.71,96,100,14.14,overcast clouds
134,Ghanzi,BW,-21.57,21.78,55.8,25,0,9.89,clear sky
135,Gorontalo,ID,0.54,123.06,87.4,61,79,4.36,broken clouds
