City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Waingapu,ID,86.7,broken clouds,-9.66,120.26,Pondok Wisata Elim
505,Gamboma,CG,71.96,light rain,-1.88,15.86,Hotel Vianette
509,Charlestown,AU,75.99,scattered clouds,-32.95,151.67,Panorama Motor Inn Hotel
510,Saint-Joseph,RE,69.8,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
511,Najran,SA,71.6,clear sky,17.49,44.13,محمد هادي ال فطيح
513,Marsh Harbour,BS,83.43,broken clouds,26.54,-77.06,Abaco Beach Resort
514,Sawtell,AU,73.99,broken clouds,-30.38,153.1,Boambee Waters Caravan Park
518,Meulaboh,ID,79.88,clear sky,4.14,96.13,Kost Pria
520,Graham,US,73.4,clear sky,47.05,-122.29,Moxie Meadows Hostel
522,Kabinda,CD,69.26,overcast clouds,-6.13,24.48,Village Mianda Mutole
523,Meadow Lake,US,80.6,clear sky,34.8,-106.54,JKL Inc. R.V Park and Storage
524,Trindade,BR,82.4,clear sky,-16.65,-49.49,Pousada Central
527,Buala,SB,82.94,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
528,Snyder,US,78.8,clear sky,32.72,-100.92,Holiday Inn Express & Suites Snyder
530,Aguimes,ES,71.6,scattered clouds,27.91,-15.45,Hotel Villa de Aguimes
534,Malakal,SS,69.82,light rain,9.53,31.66,Nile Palace Hotel
538,Port Blair,IN,82.04,light rain,11.67,92.75,Fortune Resort Bay Island
542,El Carmen,CO,70.59,light rain,8.51,-73.45,La Casona
543,Inhambane,MZ,70.61,broken clouds,-23.86,35.38,Oceano
544,Ogori,JP,75.2,scattered clouds,34.1,131.4,Toyoko INN Shinyamaguchiekishinkansenguchi
545,Jian,CN,71.49,light rain,27.12,114.98,Luling International Hotel
546,Daru,PG,80.15,light rain,-9.08,143.21,New century hotel
547,Glace Bay,CA,71.01,drizzle,46.2,-59.96,Cedarwoods Bed & Breakfast
548,Shushtar,IR,76.51,clear sky,32.05,48.86,هتل تک ستاره
550,Tautira,PF,84.2,few clouds,-17.73,-149.15,Pension Oaoa
551,Wanning,CN,82.51,light rain,18.8,110.4,Paradise Hotel
553,Bislig,PH,88.36,broken clouds,8.22,126.28,Paper Country Inn
555,Ribas Do Rio Pardo,BR,88.02,scattered clouds,-20.44,-53.76,Ataíde Martins
557,Mizdah,LY,67.14,clear sky,31.45,12.98,محمدالمبروك الاريقط
558,Posse,BR,80.17,clear sky,-14.09,-46.37,Pousada das Palmeiras
559,Bocaiuva,BR,77.13,broken clouds,-17.11,-43.81,Hotel Maxim's
561,Tres Passos,BR,77.49,clear sky,-27.46,-53.93,Hotel Imperial
563,Yanam,IN,74.95,moderate rain,16.73,82.22,The Regency Hotel
564,Sabha,LY,79.57,scattered clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
565,Hamilton,US,66.99,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
566,Sangmelima,CM,66.47,overcast clouds,2.93,11.98,gamestar hotel
572,Fomboni,KM,77.67,clear sky,-12.28,43.74,Auberge les abou
573,Hambantota,LK,77.0,broken clouds,6.12,81.12,Bungalow 63
575,Morondava,MG,74.44,clear sky,-20.28,44.28,La Case Bambou
576,Boromo,BF,76.26,broken clouds,11.75,-2.93,Sama Camp
577,Bryan,US,73.4,clear sky,30.67,-96.37,Best Western Premier Bryan College Station
584,Kloulklubed,PW,77.0,heavy intensity shower rain,7.04,134.26,Storyboard Beach Resort
585,Wad Madani,SD,79.99,overcast clouds,14.4,33.52,فندق يوغسلافيا
586,Itoman,JP,84.2,shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
587,Zhoucheng,CN,70.56,clear sky,35.91,116.31,Yingbin Restaurant
588,Nicoya,CR,75.2,moderate rain,10.15,-85.45,Guayacan Real
